State,Democrat,Republican,Libertarian,Other
ALABAMA,849624,1441170,25176,7312
ALASKA,153778,189951,8897,6904
AMERICAN SAMOA,NA,NA,NA,NA
ARIZONA,1672143,1661686,51465,2032
ARKANSAS,423932,760647,13133,21357
CALIFORNIA,11110250,6006429,187895,196307
COLORADO,1804352,1364607,52460,58561
CONNECTICUT,1080831,714717,20230,8079
DELAWARE,296268,200603,5000,2475
DISTRICT OF COLUMBIA,317323,18586,2036,6411
FLORIDA,5297045,5668731,70324,31356
GEORGIA,2473633,2461854,62229,2244
GUAM,NA,NA,NA,NA
HAWAII,366130,196864,5539,11251
IDAHO,287021,554119,16404,10470
ILLINOIS,3471915,2446891,66544,48393
INDIANA,1242416,1729519,59232,1951
IOWA,897672,759061,19637,23760
KANSAS,771406,570323,30574,NA
KENTUCKY,1326646,772474,26234,11414
LOUISIANA,856034,21645,1255776,14607
MAINE,435072,14152,360737,18344
MARYLAND,976414,1985023,33488,26306
MASSACHUSETTS,2382202,1167202,47013,61588
MICHIGAN,2804040,2649852,60381,25029
MINNESOTA,1484065,1717077,34976,41053
MISSISSIPPI,539398,756764,8026,9571
MISSOURI,1718736,1253014,41205,13007
MONTANA,244786,343602,15252,34
NEBRASKA,556846,374583,20283,4671
NEVADA,703486,669890,14783,17217
NEW HAMPSHIRE,424921,365654,13235,2372
NEW JERSEY,2608335,1883274,31677,30493
NEW MEXICO,501614,401894,12585,3446
NEW YORK,5230985,3244798,60234,125718
NORTH CAROLINA,2684292,2758773,48678,33505
NORTH DAKOTA,114902,235595,9393,1929
NORTHERN MARIANA ISLANDS,NA,NA,NA,NA
OHIO,2679165,3154834,67569,20634
OKLAHOMA,503890,1020280,24731,11798
OREGON,1340383,958448,41582,33908
PENNSYLVANIA,3458229,3377674,79380,NA
PUERTO RICO,NA,NA,NA,NA
RHODE ISLAND,307486,199922,5053,4529
SOUTH CAROLINA,1091541,1385103,27916,9536
SOUTH DAKOTA,150471,261043,11095,NA
TENNESSEE,1143711,1852475,NA,57665
TEXAS,5259126,5890347,126243,39340
TRIBAL COMMUNITIES,NA,NA,NA,NA
US VIRGIN ISLANDS,NA,NA,NA,NA
UTAH,560282,865140,38447,24420
VERMONT,242820,112704,3608,11836
VIRGINIA,2413568,1962430,64761,19765
WASHINGTON,2369612,1584651,80500,52868
WEST VIRGINIA,235984,545382,10687,2599
WISCONSIN,1630866,1610184,NA,56991
WYOMING,73491,193559,5768,5685
